Company,Symbol,Exchange,Price Range,Shares,Week Of,Date Retrieved,Category,Link
Bricktown Brewery Restaurants,BEER,Nasdaq,$7.00 - $9.00,1875000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/beer/ipo?mod=mw_ipocalendar
Car House Holding,CARH,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/carh/ipo?mod=mw_ipocalendar
CC Neuberger Principal Holdings II,,NYSE,$10.00,60000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock//ipo?mod=mw_ipocalendar
CDP Holdings,CDP,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/cdp/ipo?mod=mw_ipocalendar
Centrexion Therapeutics,CNTX,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/cntx/ipo?mod=mw_ipocalendar
China Eco-Materials Group,ZGHB,Nasdaq,$4.50,2222223,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/zghb/ipo?mod=mw_ipocalendar
Churchill Capital Corp IV,CCIV.U,NYSE,$10.00,100000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/cciv.u/ipo?mod=mw_ipocalendar
CloudMinds,CMDS,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/cmds/ipo?mod=mw_ipocalendar
CN Energy Group,CNEY,Nasdaq,$4.00 - $5.00,5000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/cney/ipo?mod=mw_ipocalendar
Cole Haan,CLHN,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/clhn/ipo?mod=mw_ipocalendar
Cornerstone Management,CSCA,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/csca/ipo?mod=mw_ipocalendar
"
Coro Global                            ",CORO,Nasdaq,,,,2020-07-15,Future Ipos,
Deerfield Healthcare Technology Acquisitions,DFHTU,Nasdaq,$10.00,12500000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/dfhtu/ipo?mod=mw_ipocalendar
dMY Technology Group II,DMYD.U,NYSE,$10.00,20000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/dmyd.u/ipo?mod=mw_ipocalendar
Dragon Jade International,DGJI,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/dgji/ipo?mod=mw_ipocalendar
E.Merge Technology Acquisition,ETACU,Nasdaq,$10.00,50000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/etacu/ipo?mod=mw_ipocalendar
East Resources Acquisition,ERES.U,Nasdaq,$10.00,30000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/eres.u/ipo?mod=mw_ipocalendar
F5 Finishes,FLRZ,Nasdaq,$5.00,4000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/flrz/ipo?mod=mw_ipocalendar
Fathom Holdings,FTHM,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/fthm/ipo?mod=mw_ipocalendar
"
Fit Boxx Holdings                            ",FBOX,Nasdaq,$5.00 - $6.50,2000000,,2020-07-15,Future Ipos,
Flux Power Holdings,FLUX,Nasdaq,$9.00,1449275,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/flux/ipo?mod=mw_ipocalendar
Focus Universal,FCUV,Nasdaq,$4.00 - $6.00,2000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/fcuv/ipo?mod=mw_ipocalendar
Fortis Minerals LLC,NRI,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/nri/ipo?mod=mw_ipocalendar
FreeCast,FCST,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/fcst/ipo?mod=mw_ipocalendar
GBS,GBSG,,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/gbsg/ipo?mod=mw_ipocalendar
Generation Income Properties,GIPR,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/gipr/ipo?mod=mw_ipocalendar
Global Internet of People,SDH,Nasdaq,$5.00,5600000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/sdh/ipo?mod=mw_ipocalendar
GO Acquisition,,NYSE,$10.00,50000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock//ipo?mod=mw_ipocalendar
Goxus,GOXS,Nasdaq,$8.00 - $10.00,1500000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/goxs/ipo?mod=mw_ipocalendar
Greencity Acquisition,GRCYU,Nasdaq,$10.00,4000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/grcyu/ipo?mod=mw_ipocalendar
Greenwich LifeSciences,GLSI,Nasdaq,$7.50 - $8.50,2685394,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/glsi/ipo?mod=mw_ipocalendar
HeZhong International Holding,HZ,Nasdaq,$4.00,1250000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/hz/ipo?mod=mw_ipocalendar
HF Enterprises,HFEN,Nasdaq,$6.00 - $8.00,2600000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/hfen/ipo?mod=mw_ipocalendar
Hitek Global,HKIT,Nasdaq,$4.00 - $6.00,4000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/hkit/ipo?mod=mw_ipocalendar
IBEX,IBEX,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/ibex/ipo?mod=mw_ipocalendar
InMed Pharmaceuticals,INM,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/inm/ipo?mod=mw_ipocalendar
Inozyme Pharma,INZY,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/inzy/ipo?mod=mw_ipocalendar
iTeos Therapeutics,ITOS,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/itos/ipo?mod=mw_ipocalendar
Jiana Science and Technology,JANA,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/jana/ipo?mod=mw_ipocalendar
Kiromic BioPharma,KRBP,NYSE American,$12.00 - $14.00,1923100,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/krbp/ipo?mod=mw_ipocalendar
Li Auto,LI,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/li/ipo?mod=mw_ipocalendar
Loha,LOHA,Nasdaq,$5.00 - $7.00,4285715,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/loha/ipo?mod=mw_ipocalendar
Madewell Group,,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock//ipo?mod=mw_ipocalendar
Meili Auto Holdings,ML,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/ml/ipo?mod=mw_ipocalendar
MingZhu Logistics Holdings,YGMZ,Nasdaq,$4.00,3000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/ygmz/ipo?mod=mw_ipocalendar
MR2 Group,MRMR,Nasdaq,$7.00 - $9.00,1843750,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/mrmr/ipo?mod=mw_ipocalendar
Muliang Agritech,MULG,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/mulg/ipo?mod=mw_ipocalendar
NewHold Investment,NHICU,Nasdaq,$10.00,15000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/nhicu/ipo?mod=mw_ipocalendar
NLS Pharmaceutics,NLSP,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/nlsp/ipo?mod=mw_ipocalendar
Nurix Therapeutics,NRIX,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/nrix/ipo?mod=mw_ipocalendar
NuZee,NUZE,Nasdaq,$9.00,700000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/nuze/ipo?mod=mw_ipocalendar
Oak Street Health,OSH,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/osh/ipo?mod=mw_ipocalendar
Oriental Culture Holding,OCG,Nasdaq,$4.00,5065000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/ocg/ipo?mod=mw_ipocalendar
PainReform,PRFX,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/prfx/ipo?mod=mw_ipocalendar
PaxMedica,PXMD,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/pxmd/ipo?mod=mw_ipocalendar
Pershing Square Tontine Holdings,PSTH.U,NYSE,$20.00,200000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/psth.u/ipo?mod=mw_ipocalendar
"
Presidio Property Trust                            ",SQFT,Nasdaq,$5.00 - $7.00,2500000,,2020-07-15,Future Ipos,
"
Priam Properties                            ",PRMI,NYSE American,,,,2020-07-15,Future Ipos,
Processa Pharmaceuticals,PCSA,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/pcsa/ipo?mod=mw_ipocalendar
Procore Technologies,PCOR,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/pcor/ipo?mod=mw_ipocalendar
Property Solutions Acquisition,PSACU,Nasdaq,$10.00,20000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/psacu/ipo?mod=mw_ipocalendar
Qilian International Holding,QLI,NYSE,$5.00 - $7.00,4000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/qli/ipo?mod=mw_ipocalendar
Rackspace Technology,RXT,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/rxt/ipo?mod=mw_ipocalendar
Rocket Companies,RKT,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/rkt/ipo?mod=mw_ipocalendar
"
SolarMax Technology                            ",SMXT,Nasdaq,$4.00,4000000,,2020-07-15,Future Ipos,
Sun BioPharma,SNBP,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/snbp/ipo?mod=mw_ipocalendar
The OLB Group,OLB,Nasdaq,$7.60,657895,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/olb/ipo?mod=mw_ipocalendar
TRX Insurance Brokers,TIRX,Nasdaq,$4.00 - $4.50,3000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/tirx/ipo?mod=mw_ipocalendar
Ucommune Group Holdings,UK,NYSE,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/uk/ipo?mod=mw_ipocalendar
"
Uranium Trading Corp.                            ",UTC,NYSE American,$10.00 - $12.00,4545455,,2020-07-15,Future Ipos,
UTime,UTME,Nasdaq,$4.00 - $5.00,3750000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/utme/ipo?mod=mw_ipocalendar
UTXO Acquisition,UTXOU,Nasdaq,$10.00,5000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/utxou/ipo?mod=mw_ipocalendar
Vasta Platform,,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock//ipo?mod=mw_ipocalendar
Vertex,VERX,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/verx/ipo?mod=mw_ipocalendar
Vision Marine Technologies,VMAR,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/vmar/ipo?mod=mw_ipocalendar
Vistas Media Acquisition,VMACU,Nasdaq,$10.00,10000000,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/vmacu/ipo?mod=mw_ipocalendar
Vital Farms,VITL,Nasdaq,,,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/vitl/ipo?mod=mw_ipocalendar
Whole Earth Brands,FREE,Nasdaq,$10.00,1,,2020-07-15,Future Ipos,https://www.marketwatch.com/investing/stock/free/ipo?mod=mw_ipocalendar
,,,,,,2020-07-15,Withdrawn,
PCI Media,PCIM.U,Nasdaq,$6.00 - $8.00,2500000,2020-06-26 00:00:00,2020-07-15,Withdrawn,
Pulmonx,LUNG,Nasdaq,,,2020-05-08 00:00:00,2020-07-15,Withdrawn,
